Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
610,Rag'n'Bone Man - Human,36,,53,,6934906,171869921
611,Cardi B - Money,24,,46,,9714415,171754414
612,Avicii - The Nights,47,,18,,11612203,171024307
613,Meghan Trainor - NO,27,,19,,12512265,170919587
614,Justin Bieber - Company,49,,19,,9266436,170761923
615,Kanye West - Famous,38,,17,,12718673,170684091
616,A Boogie Wit da Hoodie - Drowning,36,,90,,5739379,170227822
617,Marc E. Bassy - You & Me,27,,34,,9817798,170199540
618,KYLE - Playinwitme,21,,28,,11789806,169420702
619,Danny Ocean - Dembow,29,,65,,7435864,169357751
620,Coldplay - Magic,59,11.0,4,,6090356,169207741
621,Ariana Grande - Love Me Harder,42,8.0,7,,7221579,168978337
622,Ed Sheeran - Sing,58,4.0,5,,6391541,168915339
623,OneRepublic - Wherever I Go,27,,38,,9301348,168782870
624,Shawn Mendes - I Know What You Did Last Summer,30,,21,,9040377,168604535
625,Bazzi - I.F.L.Y.,24,,47,,9546812,168411440
626,Flume - Say It,35,,52,,6327930,168365103
627,Travis Scott - STARGAZING,19,1.0,3,(x1),30434014,167941602
628,Joey Montana - Suena El Dembow,30,,66,,6901800,167765768
629,Alan Walker - All Falls Down,27,,52,,8009107,167614925
630,Hailee Steinfeld - Love Myself,38,,24,,6796031,167215259
631,Chance the Rapper - No Problem,49,,88,,4980819,167020288
632,Sam Smith - I'm Not The Only One,25,8.0,4,,8452834,166400635
633,Jason Derulo - Tip Toe,24,,45,,9943095,166099722
634,Burak Yeter - Tuesday,30,,58,,7971251,166047199
635,George Ezra - Budapest,70,,40,,3786016,165927642
636,Sebastian Yatra - Ya No Tiene Novio,27,,68,,7883355,165724104
637,Zara Larsson - Ain't My Fault,22,,23,,11800265,165637159
638,Fifth Harmony - All In My Head (Flex),25,,35,,9531990,165607826
639,Billie Eilish - bellyache,30,,70,,7463975,164762914
640,Bazzi - Paradise,23,,33,,12160715,164355425
641,John Legend - Love Me Now,25,,32,,10098705,163658154
642,YNW Melly - 223's,21,,32,,12075982,163617786
643,Echosmith - Cool Kids,46,,14,,5889234,163521602
644,Silentó - Watch Me (Whip / Nae Nae),41,,17,,7636537,162962165
645,Rae Sremmurd - Swang,36,,71,,6355205,162702327
646,Sean Paul - Mad Love,24,,38,,10820284,162652448
647,Rob $tone - Chill Bill,36,,57,,6029364,162363885
648,Disclosure - Latch,66,,17,,4212371,162259070
649,Bad Bunny - Vete,10,1.0,10,,21654855,162241282
650,The Weeknd - Party Monster,23,1.0,5,,20680768,162131625
651,Selena Gomez - Fetish,20,1.0,10,,19979354,162010927
652,Ariana Grande - imagine,15,1.0,8,,22191327,161755627
653,Zedd - Happy Now,20,,27,,12682196,161673954
654,Jason Derulo - Wiggle,50,8.0,2,(x3),7977611,161629972
655,Robin Schulz - OK,28,,55,,7673376,161589226
656,Post Malone - Saint-Tropez,13,2.0,4,,30900415,161171998
657,Andy Grammer - Fresh Eyes,29,,30,,9398900,160986334
658,Frank Sinatra - Let It Snow! Let It Snow! Let It Snow!,26,,23,,19911738,160807990
659,Jonas Blue - By Your Side,28,,34,,9731668,160793634
660,Lost Frequencies - Reality,45,,31,,6105987,160761324
661,Bad Bunny - Amorfoda,17,1.0,10,,20012260,160614968
662,Playboi Carti - Magnolia,30,,59,,7604634,160206587
663,Sean Paul - Contra La Pared,23,,60,,8566614,160205873
664,Nicky Jam - Hasta el Amanecer,44,,52,,4702381,159996077
665,Robin Schulz - Shed a Light,23,,30,,10513447,159802113
666,Harry Styles - Watermelon Sugar,11,,14,,21814400,159695587
667,Sebastian Yatra - Un Año,22,,52,,9499562,158786160
668,James Bay - Hold Back The River,56,,19,,6371196,158408670
669,Lewis Capaldi - Bruises,27,,66,,7561281,158235132
670,Sech - Que Mas Pues - Remix,25,,70,,7876971,158005048
671,Juice WRLD - Armed And Dangerous,23,,34,,11478075,157559496
672,Lorde - Green Light,20,,24,,15782320,157239709
673,MEDUZA - Lose Control,15,,34,,12583387,157208060
674,Romeo Santos - Bella y Sensual,33,,106,,5349855,156956150
675,Pitbull - Hey Ma,27,,62,,7834318,156529636
676,Maluma - Mala Mía,23,,56,,8660335,156347542
677,Anne-Marie - Alarm,26,,40,,8506278,156282617
678,Cosculluela - Madura,27,,70,,7201942,156041501
679,YG - Go Loko,20,,38,,11201316,155426375
680,Meghan Trainor - Like I'm Gonna Lose You,48,,40,,5828666,155424047
681,"Drake - Hold On, We're Going Home",81,8.0,4,,4524152,155015264
682,Post Malone - Ball For Me,20,,15,,21648376,154428197
683,Liam Payne - For You (Fifty Shades Freed) (& Rita Ora),19,,27,,13208405,154395594
684,John Lennon - Happy Xmas (War Is Over) - Remastered,20,,13,,21367029,154113407
685,NEIKED - Sexual,29,,40,,7798359,153960755
686,Cardi B - Bartier Cardi,20,,22,,13417677,153487501
687,Jason Derulo - Talk Dirty,57,11.0,7,,4465856,152920396
688,Travis Scott - YOSEMITE,26,,24,,14805515,152496380
689,Maluma - El Préstamo,24,,52,,8568607,152312836
690,Sam Smith - I'm Not The Only One,62,,30,,4413260,152240918
691,Justin Bieber - I'll Show You,25,5.0,6,,16202263,151847932
692,Little Mix - Woman Like Me,18,,22,,13304136,151277585
693,Shakira - Perro Fiel,22,,46,,9130643,150957974
694,Harry Styles - Adore You,8,1.0,6,,25393341,150507545
695,X Ambassadors - Renegades,51,,43,,5231323,150108837
696,Daddy Yankee - Dura - Remix,22,,52,,8594481,149564907
697,Rae Sremmurd - Powerglide,22,,50,,9616734,149561653
698,J Balvin - Reggaeton,23,,74,,7566171,149283116
699,Becky G - Bubalu,22,,71,,7779098,148995129
700,Reik - Amigos Con Derechos,23,,69,,7746544,148128615
701,Blueface - Thotiana,16,,29,,14588485,146731807
702,Sigala - Easy Love,34,,15,,8129356,146524768
703,Enrique Iglesias - EL BAÑO,21,,38,,10432928,146227713
704,Iggy Azalea - Black Widow,40,3.0,8,,7308886,146175854
705,Kygo - Happy Now,21,,37,,10974050,145797551
706,Reik - Indeciso,21,,60,,8083484,145663890
707,Eminem - 'Till I Collapse,56,,144,,4582126,145475021
708,21 Savage - X,37,,76,,5135526,145386210
709,Lizzo - Good As Hell,18,,44,,10254273,144934954
710,Ellie Goulding - Burn,66,16.0,6,,3862233,144859253
711,IAmChino - Ay Mi Dios,39,,74,,5387559,144838907
712,Martin Garrix - So Far Away,20,,42,,9799207,144794103
713,Coldplay - The Scientist,61,,132,,3795147,144028900
714,Zara Larsson - I Would Like,21,,29,,10484579,143896819
715,Little Mix - Touch,27,,59,,7656418,143837369
716,Rihanna - Love On The Brain,36,,68,,6981516,143722799
717,The Weeknd - Heartless,10,1.0,4,,28298094,143548268
718,J Balvin - Ginza,41,,35,,5732521,143504841
719,Logic - Everyday,19,,16,,16130395,142691584
720,Katy Perry - Swish Swish,24,,41,,10921671,142373506
721,Ariana Grande - Focus,22,3.0,8,,12208662,141942832
722,Karol G - Culpables,24,,89,,6823544,141937323
723,Justin Bieber - Yummy,4,4.0,2,(x1),38715310,141698401
724,Carly Rae Jepsen - I Really Like You,34,,15,,7684232,141537318
725,Katy Perry - Roar,65,14.0,2,(x3),5549675,141090106
726,Enrique Iglesias - Bailando - Spanish Version,62,,39,,3132780,141087933
727,Beyoncé - 7/11,56,,17,,5440544,140962617
